
Microenvironment summary: 
microenvironment: 
Microenvironment_private_data:
temporary_density_vectors1:
35.4568 0.00288237 
35.2117 0.00288178 
34.974 0.00288107 
34.7432 0.00288022 
34.5189 0.00287925 
34.3009 0.00287815 
34.089 0.00287692 
33.8834 0.00287557 
33.6841 0.00287411 
33.4915 0.00287255 
33.3062 0.0028709 
33.1288 0.0028692 
32.9605 0.00286748 
32.8026 0.00286576 
32.6568 0.00286409 
32.5255 0.00286251 
32.412 0.00286108 
32.321 0.00285983 
32.2517 0.00285883 
32.2053 0.0028581 
32.186 0.00285769 
32.1951 0.00285761 
32.2269 0.00285786 
32.28 0.00285844 
32.3537 0.00285931 
32.4471 0.00286045 
32.5581 0.00286181 
32.6867 0.00286334 
32.8297 0.00286499 
32.9847 0.00286671 
33.1501 0.00286846 
33.3246 0.0028702 
33.5073 0.00287188 
33.6975 0.00287349 
33.8946 0.00287501 
34.0983 0.00287641 
34.3085 0.00287769 
34.525 0.00287885 
34.748 0.00287987 
34.9778 0.00288075 
35.2147 0.00288151 
35.4591 0.00288213 
35.7115 0.00288262 
35.9726 0.00288299 
36.243 0.00288324 
38 0.00288336 
38 0.00288318 
36.1619 0.00288305 
35.8779 0.00288278 
35.603 0.00288239 
35.3366 0.00288186 
35.0778 0.00288119 
34.8263 0.00288037 
34.5815 0.00287941 
34.3429 0.00287829 
34.1103 0.00287703 
33.8836 0.00287562 
33.6627 0.00287406 
33.4477 0.00287236 
33.239 0.00287054 
33.0371 0.00286862 
32.8429 0.00286662 
32.6574 0.00286457 
32.4821 0.00286252 
32.319 0.00286052 
32.1711 0.00285861 
32.0425 0.00285686 
31.9401 0.00285534 
31.8617 0.0028541 
31.8087 0.00285321 
31.7874 0.0028527 
31.7998 0.0028526 
31.8373 0.00285291 
31.8979 0.00285362 
31.9813 0.00285469 
32.0864 0.00285608 
32.2105 0.00285774 
32.3543 0.00285959 
32.5134 0.00286158 
32.6847 0.00286364 
32.8665 0.00286572 
33.0572 0.00286776 
33.2559 0.00286975 
33.4618 0.00287163 
33.6742 0.00287339 
33.8929 0.00287502 
34.1178 0.0028765 
34.3488 0.00287782 
34.586 0.00287899 
34.8298 0.00288001 
35.0804 0.00288087 
35.3385 0.00288158 
35.6044 0.00288214 
35.8789 0.00288255 
36.1627 0.00288283 
38 0.00288297 
38 0.0028828 
36.0863 0.00288265 
35.7895 0.00288236 
35.5018 0.00288191 
35.2223 0.00288131 
34.9504 0.00288055 
34.6854 0.00287963 
34.4268 0.00287854 
34.174 0.00287728 
33.9269 0.00287584 
33.6851 0.00287422 
33.4485 0.00287243 
33.2173 0.00287047 
32.9916 0.00286836 
32.7722 0.00286612 
32.5596 0.00286377 
32.3553 0.00286135 
32.1606 0.00285891 
31.9777 0.00285649 
31.8106 0.00285418 
31.6644 0.00285204 
31.5488 0.00285017 
31.4597 0.00284864 
31.3989 0.00284753 
31.3755 0.0028469 
31.3925 0.00284678 
31.4369 0.00284717 
31.5065 0.00284805 
31.601 0.00284938 
31.7195 0.00285109 
31.8582 0.00285311 
32.0193 0.00285536 
32.1966 0.00285775 
32.3861 0.00286021 
32.5857 0.00286268 
32.7939 0.00286509 
33.0095 0.00286741 
33.2318 0.00286961 
33.4601 0.00287165 
33.6942 0.00287352 
33.934 0.00287522 
34.1794 0.00287673 
34.4307 0.00287806 
34.6882 0.00287922 
34.9523 0.00288019 
35.2236 0.00288099 
35.5026 0.00288162 
35.79 0.0028821 
36.0866 0.00288241 
38 0.00288256 
38 0.0028824 
36.015 0.00288224 
35.7062 0.00288191 
35.4062 0.00288141 
35.1143 0.00288074 
34.8296 0.0028799 
34.5515 0.00287886 
34.2794 0.00287763 
34.0126 0.00287621 
33.7509 0.00287458 
33.4938 0.00287274 
33.2413 0.0028707 
32.9932 0.00286845 
32.7498 0.00286602 
32.5116 0.00286342 
32.2792 0.00286067 
32.0539 0.00285782 
31.8374 0.0028549 
31.6318 0.002852 
31.4421 0.00284918 
31.275 0.00284655 
31.1442 0.00284423 
31.0425 0.00284233 
30.972 0.00284095 
30.9463 0.00284017 
30.9698 0.00284004 
31.0231 0.00284053 
31.1032 0.00284163 
31.2105 0.00284328 
31.3445 0.0028454 
31.4998 0.00284788 
31.6807 0.00285061 
31.8786 0.0028535 
32.0884 0.00285644 
32.3076 0.00285936 
32.5347 0.00286219 
32.7683 0.0028649 
33.0078 0.00286744 
33.2526 0.00286978 
33.5024 0.00287193 
33.7572 0.00287386 
34.0171 0.00287558 
34.2824 0.00287709 
34.5534 0.00287839 
34.8307 0.00287948 
35.1148 0.00288038 
35.4063 0.00288109 
35.706 0.00288162 
36.0147 0.00288197 
38 0.00288214 
38 0.002882 
35.9482 0.00288182 
35.6281 0.00288146 
35.3165 0.00288091 
35.0127 0.00288017 
34.7158 0.00287922 
34.425 0.00287807 
34.1397 0.0028767 
33.8591 0.0028751 
33.5829 0.00287327 
33.3105 0.0028712 
33.0416 0.00286889 
32.7761 0.00286633 
32.5141 0.00286355 
32.2558 0.00286054 
32.0019 0.00285734 
31.7535 0.00285398 
31.5121 0.00285051 
31.28 0.002847 
31.0634 0.00284355 
30.8711 0.0028403 
30.7228 0.00283742 
30.6062 0.00283504 
30.5236 0.00283331 
30.4953 0.00283236 
30.5281 0.00283221 
30.5926 0.00283284 
30.6854 0.00283423 
30.8076 0.00283629 
30.9593 0.00283893 
31.1334 0.00284199 
31.3373 0.00284532 
31.5589 0.00284881 
31.7915 0.00285232 
32.0324 0.00285577 
32.2799 0.00285909 
32.5328 0.00286223 
32.7904 0.00286515 
33.0522 0.00286783 
33.3181 0.00287027 
33.5881 0.00287245 
33.8624 0.00287439 
34.1415 0.00287608 
34.4257 0.00287753 
34.7157 0.00287876 
35.0121 0.00287976 
35.3156 0.00288055 
35.627 0.00288113 
35.9472 0.00288152 
38 0.00288171 
38 0.0028816 
35.8861 0.00288141 
35.5554 0.00288101 
35.233 0.0028804 
34.9179 0.00287958 
34.6094 0.00287854 
34.3064 0.00287727 
34.0083 0.00287576 
33.7143 0.00287398 
33.4236 0.00287194 
33.1359 0.00286963 
32.8504 0.00286703 
32.567 0.00286414 
32.2854 0.00286097 
32.0057 0.00285752 
31.7284 0.00285381 
31.4541 0.00284986 
31.1844 0.00284573 
30.9211 0.00284148 
30.6722 0.00283725 
30.4492 0.00283321 
30.2807 0.00282959 
30.1462 0.00282659 
30.0481 0.00282442 
30.0169 0.00282326 
30.063 0.00282313 
30.1422 0.00282393 
30.25 0.00282567 
30.3896 0.00282828 
30.5619 0.00283158 
30.7572 0.00283537 
30.9881 0.00283947 
31.2371 0.00284369 
31.4957 0.00284788 
31.7606 0.00285195 
32.0303 0.00285582 
32.3037 0.00285943 
32.5802 0.00286277 
